Keyword,Subjects,Location,Volume,KD,Current position,Position change,Previous URL,Current URL,top_3,top_10,everything_else,serp_position,dropped,increased,stable,position_shifts
superprof,category 4,montreal,5400,5,1,New,,https://www.superprof.ca/lessons/all-tutors/montreal/,1,0,0,Top 3,0,1,0,
yoga classes near me,category 8,canada,3300,3,31,-24,https://www.superprof.ca/lessons/yoga/ottawa/,https://www.superprof.ca/lessons/yoga/canada/,0,0,1,Everything else,1,0,0,decreased
tutor,category 4,toronto,2800,50,7,-6,https://www.superprof.ca/lessons/all-tutors/toronto/,https://www.superprof.ca/lessons/all-tutors/toronto/,0,1,0,Top 10,1,0,0,decreased
swimming lessons,category 5,ottawa,2400,12,22,New,,https://www.superprof.ca/lessons/swimming/ottawa/,0,0,1,Everything else,0,1,0,
french classes near me,category 2,kitchener,1900,0,47,-29,https://www.superprof.ca/lessons/french/kelowna/,https://www.superprof.ca/lessons/french/kitchener/,0,0,1,Everything else,1,0,0,decreased
guitar lessons,category 7,canada,1800,67,26,-4,https://www.superprof.ca/lessons/guitar/edmonton/,https://www.superprof.ca/lessons/guitar/canada/,0,0,1,Everything else,1,0,0,decreased
piano lessons near me,category 10,canada,1800,0,4,-2,https://www.superprof.ca/lessons/piano/montreal/,https://www.superprof.ca/lessons/piano/canada/,0,1,0,Top 10,1,0,0,decreased
swimming classes near me,category 5,canada,1700,6,35,New,,https://www.superprof.ca/lessons/swimming/canada/,0,0,1,Everything else,0,1,0,
dance classes near me,Other,canada,1700,24,5,56,https://www.superprof.ca/lessons/dance/canada/,https://www.superprof.ca/lessons/dance/canada/,0,1,0,Top 10,0,1,0,increased
boxing classes near me,Other,toronto,1600,1,27,-15,https://www.superprof.ca/lessons/boxing/canada/,https://www.superprof.ca/lessons/boxing/toronto/,0,0,1,Everything else,1,0,0,decreased
zumba classes near me,Other,canada,1500,2,21,-14,https://www.superprof.ca/lessons/zumba/canada/,https://www.superprof.ca/lessons/zumba/canada/,0,0,1,Everything else,1,0,0,decreased
swimming lessons surrey,category 5,surrey,1500,3,13,New,,https://www.superprof.ca/lessons/swimming/surrey/,0,0,1,Everything else,0,1,0,
piano lessons,category 10,canada,1500,25,9,2,https://www.superprof.ca/lessons/piano/canada/,https://www.superprof.ca/lessons/piano/canada/,0,1,0,Top 10,0,1,0,increased
guitar lessons calgary,category 7,calgary,1400,4,3,2,https://www.superprof.ca/lessons/guitar/calgary/,https://www.superprof.ca/lessons/guitar/calgary/,1,0,0,Top 3,0,1,0,increased
guitar lessons near me,category 7,toronto,1400,2,2,,https://www.superprof.ca/lessons/guitar/windsor-ontario/,https://www.superprof.ca/lessons/guitar/toronto/,1,0,0,Top 3,0,0,1,stable
superprof canada,category 1,canada,1400,1,,Lost,https://www.superprof.ca/lessons/mathematics/canada/,,1,0,0,Top 3,0,1,0,
pottery classes,Other,canada,1200,5,,Lost,https://www.superprof.ca/lessons/pottery/canada/,,1,0,0,Top 3,0,1,0,
spanish lessons,category 9,edmonton,1100,5,6,,https://www.superprof.ca/lessons/spanish/winnipeg/,https://www.superprof.ca/lessons/spanish/edmonton/,0,1,0,Top 10,0,0,1,stable
swimming lessons near me,category 5,canada,1100,3,,Lost,https://www.superprof.ca/lessons/swimming/canada/,,1,0,0,Top 3,0,1,0,
cooking classes toronto,Other,toronto,1000,11,49,-10,https://www.superprof.ca/lessons/cooking/toronto/,https://www.superprof.ca/lessons/cooking/toronto/,0,0,1,Everything else,1,0,0,decreased
cooking classes ottawa,Other,ottawa,1000,1,24,-4,https://www.superprof.ca/lessons/cooking/ottawa/,https://www.superprof.ca/lessons/cooking/ottawa/,0,0,1,Everything else,1,0,0,decreased
cooking classes montreal,Other,montreal,1000,3,22,-5,https://www.superprof.ca/lessons/cooking/montreal/,https://www.superprof.ca/lessons/cooking/montreal/,0,0,1,Everything else,1,0,0,decreased
french classes montreal,category 2,montreal,900,4,79,-28,https://www.superprof.ca/lessons/french/montreal/,https://www.superprof.ca/lessons/french/montreal/,0,0,1,Everything else,1,0,0,decreased
swimming lessons ottawa,category 5,ottawa,900,6,69,-30,https://www.superprof.ca/lessons/swimming/ottawa/,https://www.superprof.ca/lessons/swimming/ottawa/,0,0,1,Everything else,1,0,0,decreased
bhangra classes near me,Other,surrey,900,2,32,-13,https://www.superprof.ca/lessons/dance/surrey/,https://www.superprof.ca/lessons/dance/surrey/,0,0,1,Everything else,1,0,0,decreased
piano classes near me,category 10,oakville,900,2,2,1,https://www.superprof.ca/lessons/piano/hamilton/,https://www.superprof.ca/lessons/piano/oakville/,1,0,0,Top 3,0,1,0,increased
yoga classes,category 8,canada,900,71,,Lost,https://www.superprof.ca/lessons/yoga/canada/,,1,0,0,Top 3,0,1,0,
pilates class near me,Other,canada,800,20,86,New,,https://www.superprof.ca/lessons/pilates/canada/,0,0,1,Everything else,0,1,0,
boxing classes,Other,montreal,800,24,46,,https://www.superprof.ca/lessons/boxing/montreal/,https://www.superprof.ca/lessons/boxing/montreal/,0,0,1,Everything else,0,0,1,stable
singing lessons near me,category 6,montreal,800,0,2,1,https://www.superprof.ca/lessons/singing/canada/,https://www.superprof.ca/lessons/singing/montreal/,1,0,0,Top 3,0,1,0,increased
typing lessons,Other,canada,800,82,,Lost,https://www.superprof.ca/lessons/typing/canada/,,1,0,0,Top 3,0,1,0,
art classes near me,Other,kelowna,800,3,,Lost,https://www.superprof.ca/lessons/drawing/kelowna/,,1,0,0,Top 3,0,1,0,
french classes,category 2,brampton,800,13,,Lost,https://www.superprof.ca/lessons/french/brampton/,,1,0,0,Top 3,0,1,0,
french lessons,category 2,edmonton,700,31,80,-60,https://www.superprof.ca/lessons/french/abbotsford/,https://www.superprof.ca/lessons/french/edmonton/,0,0,1,Everything else,1,0,0,decreased
driving lessons,Other,canada,700,15,59,-55,https://www.superprof.ca/lessons/driving/canada/,https://www.superprof.ca/lessons/driving/canada/,0,0,1,Everything else,1,0,0,decreased
cooking classes edmonton,Other,edmonton,700,4,45,-25,https://www.superprof.ca/lessons/cooking/edmonton/,https://www.superprof.ca/lessons/cooking/edmonton/,0,0,1,Everything else,1,0,0,decreased
acting classes toronto,Other,toronto,700,31,38,-16,https://www.superprof.ca/lessons/acting/toronto/,https://www.superprof.ca/lessons/acting/toronto/,0,0,1,Everything else,1,0,0,decreased
cooking classes vancouver,Other,vancouver,700,8,35,8,https://www.superprof.ca/lessons/cooking/vancouver/,https://www.superprof.ca/lessons/cooking/vancouver/,0,0,1,Everything else,0,1,0,increased
golf lessons near me,Other,canada,700,2,33,New,,https://www.superprof.ca/lessons/golf/canada/,0,0,1,Everything else,0,1,0,
bollywood dance classes near me,Other,canada,700,14,27,-23,https://www.superprof.ca/lessons/bollywood-dancing/canada/,https://www.superprof.ca/lessons/bollywood-dancing/canada/,0,0,1,Everything else,1,0,0,decreased
english classes near me,category 3,vancouver,700,3,,Lost,https://www.superprof.ca/lessons/academic-english/vancouver/,,1,0,0,Top 3,0,1,0,
french classes toronto,category 2,toronto,600,2,45,-7,https://www.superprof.ca/lessons/french/toronto/,https://www.superprof.ca/lessons/french/toronto/,0,0,1,Everything else,1,0,0,decreased
swimming lessons toronto,category 5,toronto,600,17,30,21,https://www.superprof.ca/lessons/swimming/toronto/,https://www.superprof.ca/lessons/swimming/toronto/,0,0,1,Everything else,0,1,0,increased
yoga class near me,category 8,brampton,600,36,15,-4,https://www.superprof.ca/lessons/yoga/markham/,https://www.superprof.ca/lessons/yoga/brampton/,0,0,1,Everything else,1,0,0,decreased
esl classes near me,Other,montreal,600,6,7,54,https://www.superprof.ca/lessons/esl/london/,https://www.superprof.ca/lessons/esl/montreal/,0,1,0,Top 10,0,1,0,increased
singing lessons,category 6,toronto,600,1,5,-2,https://www.superprof.ca/lessons/singing/toronto/,https://www.superprof.ca/lessons/singing/toronto/,0,1,0,Top 10,1,0,0,decreased
driving classes near me,Other,canada,600,32,4,9,https://www.superprof.ca/lessons/driving/canada/,https://www.superprof.ca/lessons/driving/canada/,0,1,0,Top 10,0,1,0,increased
esl teacher,Other,canada,600,9,,Lost,https://www.superprof.ca/lessons/esl/canada/,,1,0,0,Top 3,0,1,0,
the english teacher,category 3,surrey,600,33,,Lost,https://www.superprof.ca/lessons/academic-english/surrey/,,1,0,0,Top 3,0,1,0,
music lessons near me,category 6,quebec,600,3,,Lost,https://www.superprof.ca/lessons/singing/quebec/,,1,0,0,Top 3,0,1,0,
ballet classes near me,Other,canada,500,13,58,-46,https://www.superprof.ca/lessons/ballet/canada/,https://www.superprof.ca/lessons/dance/canada/,0,0,1,Everything else,1,0,0,decreased
online yoga classes,category 8,online,500,78,49,5,https://www.superprof.ca/lessons/yoga/online/,https://www.superprof.ca/lessons/yoga/online/,0,0,1,Everything else,0,1,0,increased
art classes calgary,Other,calgary,500,1,48,-16,https://www.superprof.ca/lessons/fine-arts/calgary/,https://www.superprof.ca/lessons/fine-arts/calgary/,0,0,1,Everything else,1,0,0,decreased
french classes vancouver,category 2,vancouver,500,2,27,-10,https://www.superprof.ca/lessons/french/vancouver/,https://www.superprof.ca/lessons/french/vancouver/,0,0,1,Everything else,1,0,0,decreased
drum lessons,Other,canada,500,16,25,25,https://www.superprof.ca/lessons/drum/vancouver/,https://www.superprof.ca/lessons/drum/canada/,0,0,1,Everything else,0,1,0,increased
cooking classes near me,Other,brampton,500,5,16,8,https://www.superprof.ca/lessons/cooking/montreal/,https://www.superprof.ca/lessons/cooking/brampton/,0,0,1,Everything else,0,1,0,increased
sewing classes toronto,Other,toronto,500,0,15,,https://www.superprof.ca/lessons/sewing/toronto/,https://www.superprof.ca/lessons/sewing/toronto/,0,0,1,Everything else,0,0,1,stable
singing lessons toronto,category 6,toronto,500,6,6,-1,https://www.superprof.ca/lessons/singing/toronto/,https://www.superprof.ca/lessons/singing/toronto/,0,1,0,Top 10,1,0,0,decreased
